"","Age","Job","Marital.Status","Education","Credit","Balance..euros.","Housing.Loan","Personal.Loan","Contact","Last.Contact.Day","Last.Contact.Month","Last.Contact.Duration","Campaign","Pdays","Previous","Poutcome","Subscription"
"11059",51,"self-employed","married","primary","no",307,"yes","yes","unknown",17,"jun",65,2,-1,0,"unknown","0"
"11060",52,"management","married","tertiary","no",502,"no","no","unknown",17,"jun",637,3,-1,0,"unknown","0"
"11061",46,"management","divorced","tertiary","no",25,"no","no","unknown",17,"jun",564,2,-1,0,"unknown","0"
"11063",45,"unknown","married","unknown","no",1979,"no","no","unknown",17,"jun",76,3,-1,0,"unknown","0"
"11064",27,"blue-collar","single","secondary","no",370,"yes","no","unknown",17,"jun",128,21,-1,0,"unknown","0"
"11065",57,"blue-collar","married","primary","no",4073,"no","no","unknown",17,"jun",193,3,-1,0,"unknown","0"
"11066",42,"blue-collar","married","primary","no",46,"yes","no","unknown",17,"jun",130,6,-1,0,"unknown","0"
"11067",29,"admin.","single","secondary","yes",-95,"yes","no","unknown",17,"jun",269,3,-1,0,"unknown","0"
"11068",52,"management","married","tertiary","no",7388,"no","yes","unknown",17,"jun",291,2,-1,0,"unknown","0"
"11069",37,"technician","divorced","secondary","no",531,"no","no","unknown",17,"jun",150,7,-1,0,"unknown","0"
"11070",48,"management","married","tertiary","no",734,"yes","no","unknown",17,"jun",1208,3,-1,0,"unknown","0"
"11071",37,"admin.","married","secondary","no",10465,"no","no","unknown",17,"jun",144,6,-1,0,"unknown","0"
"11072",36,"blue-collar","married","secondary","no",2357,"yes","no","unknown",17,"jun",228,2,-1,0,"unknown","0"
"11074",35,"services","married","tertiary","no",1359,"no","no","unknown",17,"jun",585,2,-1,0,"unknown","0"
"11075",39,"management","divorced","secondary","no",51,"no","no","unknown",17,"jun",334,2,-1,0,"unknown","0"
"11077",46,"retired","divorced","secondary","no",865,"no","no","unknown",17,"jun",117,11,-1,0,"unknown","0"
"11079",36,"blue-collar","single","secondary","no",2596,"no","no","unknown",18,"jun",60,6,-1,0,"unknown","0"
"11081",57,"retired","divorced","tertiary","no",5253,"no","no","unknown",18,"jun",235,3,-1,0,"unknown","0"
"11082",36,"services","single","secondary","no",9231,"no","no","unknown",18,"jun",270,3,-1,0,"unknown","0"
"11084",44,"blue-collar","married","secondary","no",0,"no","no","unknown",18,"jun",26,7,-1,0,"unknown","0"
"11085",52,"retired","married","secondary","no",424,"no","no","unknown",18,"jun",89,3,-1,0,"unknown","0"
"11086",38,"management","single","tertiary","no",0,"no","no","unknown",18,"jun",61,7,-1,0,"unknown","0"
"11087",48,"blue-collar","married","primary","no",551,"yes","yes","unknown",18,"jun",386,5,-1,0,"unknown","0"
"11088",51,"technician","married","secondary","no",1123,"no","no","unknown",18,"jun",54,4,-1,0,"unknown","0"
"11089",49,"housemaid","married","primary","no",434,"yes","yes","unknown",18,"jun",272,3,-1,0,"unknown","0"
"11090",46,"blue-collar","married","primary","no",-1,"no","no","unknown",18,"jun",35,3,-1,0,"unknown","0"
"11091",40,"technician","married","secondary","no",265,"no","no","unknown",18,"jun",1365,4,-1,0,"unknown","0"
"11092",40,"admin.","single","secondary","no",1200,"yes","no","unknown",18,"jun",284,8,-1,0,"unknown","0"
"11094",39,"management","divorced","tertiary","no",26,"no","no","unknown",18,"jun",311,5,-1,0,"unknown","0"
"11095",48,"admin.","single","secondary","no",1253,"yes","no","unknown",18,"jun",245,2,-1,0,"unknown","0"
"11098",46,"blue-collar","married","primary","no",557,"no","no","unknown",18,"jun",89,1,-1,0,"unknown","0"
"11099",37,"blue-collar","married","secondary","no",1736,"no","yes","unknown",18,"jun",66,1,-1,0,"unknown","0"
"11100",40,"self-employed","married","secondary","no",256,"no","no","unknown",18,"jun",30,1,-1,0,"unknown","0"
"11101",55,"retired","married","secondary","no",31,"no","no","unknown",18,"jun",72,1,-1,0,"unknown","0"
"11102",42,"entrepreneur","divorced","secondary","no",31,"no","no","unknown",18,"jun",120,1,-1,0,"unknown","0"
"11103",28,"blue-collar","married","secondary","no",-493,"yes","no","unknown",18,"jun",126,4,-1,0,"unknown","0"
"11104",45,"blue-collar","married","secondary","no",103,"no","no","unknown",18,"jun",48,1,-1,0,"unknown","0"
"11105",29,"housemaid","married","secondary","no",1104,"yes","no","unknown",18,"jun",262,9,-1,0,"unknown","0"
"11106",52,"blue-collar","married","secondary","no",262,"no","no","unknown",18,"jun",1062,4,-1,0,"unknown","0"
"11108",37,"blue-collar","single","secondary","no",415,"no","no","unknown",18,"jun",203,1,-1,0,"unknown","0"
"11110",49,"management","married","primary","no",1330,"no","yes","unknown",18,"jun",37,1,-1,0,"unknown","0"
"11112",42,"unknown","single","tertiary","no",2918,"no","no","unknown",18,"jun",18,1,-1,0,"unknown","0"
"11115",39,"admin.","married","secondary","no",224,"no","no","unknown",18,"jun",421,2,-1,0,"unknown","0"
"11117",60,"retired","married","primary","no",0,"no","no","unknown",18,"jun",104,1,-1,0,"unknown","0"
"11119",38,"services","married","secondary","no",2289,"no","no","unknown",18,"jun",89,5,-1,0,"unknown","0"
"11121",36,"blue-collar","married","tertiary","no",9,"yes","no","unknown",18,"jun",112,3,-1,0,"unknown","0"
"11123",36,"unemployed","divorced","secondary","no",8267,"no","no","unknown",18,"jun",321,2,-1,0,"unknown","0"
"11124",37,"management","married","tertiary","no",223,"no","no","unknown",18,"jun",24,10,-1,0,"unknown","0"
"11125",48,"admin.","married","secondary","no",1096,"yes","no","unknown",18,"jun",213,5,-1,0,"unknown","0"
"11126",37,"blue-collar","married","primary","no",704,"no","no","unknown",18,"jun",165,7,-1,0,"unknown","0"
"11127",51,"management","married","primary","no",192,"no","no","unknown",18,"jun",129,3,-1,0,"unknown","0"
"11131",36,"unknown","married","secondary","no",1370,"no","no","unknown",18,"jun",221,5,-1,0,"unknown","0"
"11132",33,"management","single","tertiary","no",729,"yes","yes","unknown",18,"jun",178,5,-1,0,"unknown","0"
"11134",27,"technician","single","secondary","no",629,"yes","yes","unknown",18,"jun",680,2,-1,0,"unknown","0"
"11138",26,"admin.","married","secondary","no",416,"yes","yes","unknown",18,"jun",172,2,-1,0,"unknown","0"
"11139",25,"services","single","unknown","no",-501,"yes","yes","unknown",18,"jun",156,3,-1,0,"unknown","0"
"11140",39,"blue-collar","married","secondary","no",39,"yes","no","unknown",18,"jun",34,6,-1,0,"unknown","0"
"11141",42,"blue-collar","single","secondary","no",1279,"yes","no","unknown",18,"jun",347,4,-1,0,"unknown","0"
"11143",28,"blue-collar","single","secondary","no",975,"yes","no","unknown",18,"jun",59,3,-1,0,"unknown","0"
"11144",29,"management","married","tertiary","no",620,"yes","no","unknown",18,"jun",72,3,-1,0,"unknown","0"
"11145",50,"admin.","married","secondary","no",311,"yes","yes","unknown",18,"jun",417,3,-1,0,"unknown","0"
"11146",48,"management","single","tertiary","no",0,"no","no","unknown",18,"jun",96,3,-1,0,"unknown","0"
"11147",27,"admin.","married","secondary","no",-97,"yes","no","unknown",18,"jun",1528,2,-1,0,"unknown","1"
"11148",24,"blue-collar","married","secondary","no",0,"yes","no","unknown",18,"jun",154,4,-1,0,"unknown","0"
"11149",48,"admin.","single","secondary","no",479,"yes","yes","unknown",18,"jun",533,3,-1,0,"unknown","0"
"11150",46,"management","single","tertiary","no",46,"no","yes","unknown",18,"jun",107,1,-1,0,"unknown","0"
"11151",49,"technician","single","secondary","no",1202,"yes","no","unknown",18,"jun",122,1,-1,0,"unknown","0"
"11152",48,"blue-collar","married","primary","no",363,"yes","no","unknown",18,"jun",257,6,-1,0,"unknown","0"
"11153",44,"blue-collar","married","secondary","no",1147,"yes","no","unknown",18,"jun",23,3,-1,0,"unknown","0"
"11156",43,"services","divorced","secondary","no",62,"no","no","unknown",18,"jun",67,1,-1,0,"unknown","0"
"11159",58,"retired","divorced","primary","no",97,"no","no","unknown",18,"jun",59,1,-1,0,"unknown","0"
"11160",50,"housemaid","married","secondary","no",0,"no","no","unknown",18,"jun",551,1,-1,0,"unknown","0"
"11162",59,"management","divorced","tertiary","no",1304,"no","no","unknown",18,"jun",220,1,-1,0,"unknown","0"
"11164",60,"retired","married","secondary","no",1524,"no","no","unknown",18,"jun",173,1,-1,0,"unknown","0"
"11165",58,"housemaid","married","primary","no",0,"no","no","unknown",18,"jun",37,1,-1,0,"unknown","0"
"11166",57,"blue-collar","married","secondary","no",773,"yes","yes","unknown",18,"jun",97,8,-1,0,"unknown","0"
"11167",42,"housemaid","married","secondary","no",197,"no","no","unknown",18,"jun",199,1,-1,0,"unknown","0"
"11170",37,"blue-collar","divorced","secondary","yes",-689,"no","no","unknown",18,"jun",15,1,-1,0,"unknown","0"
"11171",40,"technician","married","tertiary","no",397,"no","no","unknown",18,"jun",50,1,-1,0,"unknown","0"
"11172",37,"management","married","tertiary","no",11265,"no","no","unknown",18,"jun",417,1,-1,0,"unknown","0"
"11174",36,"management","single","tertiary","no",391,"no","no","unknown",18,"jun",443,1,-1,0,"unknown","0"
"11176",45,"unknown","single","secondary","no",0,"no","no","unknown",18,"jun",1487,1,-1,0,"unknown","0"
"11179",60,"retired","divorced","primary","no",1582,"no","yes","unknown",18,"jun",159,1,-1,0,"unknown","0"
"11180",44,"blue-collar","married","primary","no",2791,"no","no","unknown",18,"jun",335,1,-1,0,"unknown","0"
"11181",49,"technician","married","secondary","no",997,"no","no","unknown",18,"jun",118,1,-1,0,"unknown","0"
"11182",39,"entrepreneur","married","tertiary","no",2310,"yes","yes","unknown",18,"jun",104,1,-1,0,"unknown","0"
"11183",37,"technician","married","secondary","yes",0,"no","no","unknown",18,"jun",236,1,-1,0,"unknown","0"
"11184",49,"management","married","unknown","no",1401,"no","no","unknown",18,"jun",300,1,-1,0,"unknown","0"
"11185",54,"housemaid","married","primary","no",5048,"no","no","unknown",18,"jun",163,1,-1,0,"unknown","0"
"11187",37,"management","divorced","secondary","no",0,"yes","no","unknown",18,"jun",187,1,-1,0,"unknown","0"
"11188",41,"management","single","tertiary","no",11008,"no","no","unknown",18,"jun",1540,1,-1,0,"unknown","1"
"11189",49,"retired","single","unknown","no",332,"no","no","unknown",18,"jun",163,2,-1,0,"unknown","0"
"11190",46,"technician","married","secondary","no",179,"no","yes","unknown",18,"jun",129,1,-1,0,"unknown","0"
"11191",55,"blue-collar","married","primary","no",761,"no","no","unknown",18,"jun",67,1,-1,0,"unknown","0"
"11192",38,"blue-collar","divorced","secondary","no",889,"no","yes","unknown",18,"jun",362,1,-1,0,"unknown","0"
"11193",42,"blue-collar","single","primary","no",4930,"no","no","unknown",18,"jun",973,1,-1,0,"unknown","1"
"11194",42,"technician","married","secondary","no",-813,"yes","no","unknown",18,"jun",36,4,-1,0,"unknown","0"
"11195",37,"self-employed","single","tertiary","no",2087,"no","no","unknown",18,"jun",167,1,-1,0,"unknown","0"
"11196",60,"housemaid","married","primary","no",0,"no","no","unknown",18,"jun",138,1,-1,0,"unknown","0"
"11197",59,"retired","married","primary","no",0,"no","no","unknown",18,"jun",1009,1,-1,0,"unknown","0"
"11198",47,"retired","married","primary","no",490,"yes","no","unknown",18,"jun",55,10,-1,0,"unknown","0"
"11199",48,"retired","married","primary","no",5173,"yes","no","unknown",18,"jun",88,8,-1,0,"unknown","0"
"11200",48,"management","married","primary","no",5348,"no","no","unknown",18,"jun",105,1,-1,0,"unknown","0"
"11201",37,"technician","married","secondary","no",603,"no","no","unknown",18,"jun",339,2,-1,0,"unknown","0"
"11202",36,"services","single","secondary","no",755,"no","no","unknown",18,"jun",355,1,-1,0,"unknown","0"
"11203",47,"services","divorced","secondary","no",829,"no","yes","unknown",18,"jun",466,2,-1,0,"unknown","0"
"11204",37,"self-employed","married","secondary","no",2235,"no","no","unknown",18,"jun",94,1,-1,0,"unknown","0"
"11206",38,"student","single","unknown","no",722,"no","no","unknown",18,"jun",65,1,-1,0,"unknown","0"
"11207",47,"management","married","tertiary","no",414,"no","no","unknown",18,"jun",387,1,-1,0,"unknown","0"
"11208",56,"retired","divorced","secondary","no",389,"yes","no","unknown",18,"jun",379,5,-1,0,"unknown","0"
"11209",51,"unknown","married","unknown","no",167,"no","no","unknown",18,"jun",205,4,-1,0,"unknown","0"
"11210",37,"services","married","unknown","no",-224,"no","no","unknown",18,"jun",332,2,-1,0,"unknown","0"
"11211",48,"blue-collar","single","primary","no",0,"no","no","unknown",18,"jun",71,1,-1,0,"unknown","0"
"11212",39,"services","married","tertiary","no",6497,"no","no","unknown",18,"jun",567,1,-1,0,"unknown","0"
"11214",35,"blue-collar","married","unknown","no",1201,"no","no","unknown",18,"jun",537,1,-1,0,"unknown","1"
"11215",44,"management","married","tertiary","no",17361,"no","no","unknown",18,"jun",476,1,-1,0,"unknown","0"
"11217",56,"services","married","unknown","no",616,"no","no","unknown",18,"jun",1812,1,-1,0,"unknown","0"
"11219",50,"admin.","married","secondary","no",1019,"yes","no","unknown",18,"jun",76,1,-1,0,"unknown","0"
"11220",57,"management","married","tertiary","no",1172,"no","no","unknown",18,"jun",26,1,-1,0,"unknown","0"
"11221",59,"retired","married","secondary","no",5744,"no","no","unknown",18,"jun",632,1,-1,0,"unknown","0"
"11225",50,"services","married","secondary","no",753,"no","no","unknown",18,"jun",59,2,-1,0,"unknown","0"
"11226",52,"retired","married","primary","no",9,"no","no","unknown",18,"jun",243,1,-1,0,"unknown","0"
"11228",59,"retired","married","primary","no",1245,"no","no","unknown",18,"jun",205,2,-1,0,"unknown","0"
"11231",48,"admin.","married","secondary","no",17957,"no","no","unknown",18,"jun",700,7,-1,0,"unknown","0"
"11232",48,"self-employed","single","unknown","no",0,"no","no","unknown",18,"jun",453,1,-1,0,"unknown","0"
"11235",32,"management","single","tertiary","no",7419,"yes","no","unknown",18,"jun",248,29,-1,0,"unknown","0"
"11236",53,"blue-collar","divorced","secondary","no",517,"yes","no","unknown",18,"jun",188,2,-1,0,"unknown","0"
"11237",36,"admin.","married","secondary","no",90,"no","no","unknown",18,"jun",166,3,-1,0,"unknown","0"
"11238",55,"management","married","secondary","no",0,"no","no","unknown",18,"jun",324,2,-1,0,"unknown","0"
"11239",44,"blue-collar","single","unknown","no",4330,"no","no","unknown",18,"jun",16,9,-1,0,"unknown","0"
"11241",48,"admin.","married","secondary","no",1800,"yes","no","unknown",18,"jun",103,1,-1,0,"unknown","0"
"11242",56,"blue-collar","divorced","secondary","no",486,"yes","no","unknown",18,"jun",577,4,-1,0,"unknown","0"
"11245",47,"unemployed","married","primary","no",0,"no","no","unknown",18,"jun",308,1,-1,0,"unknown","0"
"11247",44,"blue-collar","married","secondary","no",-448,"yes","no","unknown",18,"jun",149,2,-1,0,"unknown","0"
"11248",60,"retired","married","tertiary","no",1336,"no","no","unknown",18,"jun",324,1,-1,0,"unknown","0"
"11249",59,"blue-collar","married","unknown","no",337,"no","no","unknown",18,"jun",100,4,-1,0,"unknown","0"
"11250",35,"admin.","married","secondary","no",1476,"no","no","unknown",18,"jun",209,12,-1,0,"unknown","0"
"11251",37,"services","married","secondary","no",2128,"no","no","unknown",18,"jun",105,1,-1,0,"unknown","0"
"11252",41,"entrepreneur","married","secondary","no",707,"no","no","unknown",18,"jun",707,1,-1,0,"unknown","1"
"11254",47,"technician","married","secondary","no",3478,"no","no","unknown",18,"jun",13,11,-1,0,"unknown","0"
"11256",50,"management","married","tertiary","no",3296,"no","no","unknown",18,"jun",255,2,-1,0,"unknown","0"
"11257",45,"services","single","secondary","no",1771,"no","no","unknown",18,"jun",50,2,-1,0,"unknown","0"
"11258",38,"services","divorced","secondary","no",446,"yes","no","unknown",18,"jun",373,4,-1,0,"unknown","0"
"11259",50,"unknown","married","unknown","no",200,"no","no","unknown",18,"jun",18,6,-1,0,"unknown","0"
"11262",38,"technician","single","tertiary","no",11,"no","no","unknown",18,"jun",78,3,-1,0,"unknown","0"
"11263",59,"retired","divorced","primary","no",681,"no","yes","unknown",18,"jun",376,7,-1,0,"unknown","0"
"11267",53,"technician","married","secondary","no",1776,"no","no","unknown",18,"jun",443,7,-1,0,"unknown","0"
"11269",60,"management","married","tertiary","no",11,"no","no","unknown",18,"jun",802,3,-1,0,"unknown","0"
"11270",47,"unknown","married","unknown","no",1880,"no","no","unknown",18,"jun",64,2,-1,0,"unknown","0"
"11271",60,"admin.","single","secondary","no",3916,"no","no","unknown",18,"jun",18,5,-1,0,"unknown","0"
"11273",36,"student","single","unknown","no",386,"no","no","unknown",18,"jun",359,2,-1,0,"unknown","0"
"11274",37,"blue-collar","married","secondary","no",523,"no","no","unknown",18,"jun",257,2,-1,0,"unknown","0"
"11275",44,"services","divorced","secondary","no",608,"yes","yes","unknown",18,"jun",19,30,-1,0,"unknown","0"
"11276",45,"technician","married","secondary","no",2571,"no","no","unknown",18,"jun",146,2,-1,0,"unknown","0"
"11277",57,"retired","divorced","primary","no",914,"no","no","unknown",18,"jun",404,2,-1,0,"unknown","0"
"11278",45,"retired","married","primary","no",1152,"no","no","unknown",18,"jun",234,2,-1,0,"unknown","0"
"11280",36,"entrepreneur","married","tertiary","no",9405,"no","no","unknown",18,"jun",297,3,-1,0,"unknown","0"
"11281",39,"blue-collar","single","secondary","no",1967,"no","no","unknown",18,"jun",156,9,-1,0,"unknown","0"
"11282",52,"technician","married","secondary","no",0,"yes","no","unknown",18,"jun",636,12,-1,0,"unknown","0"
"11283",49,"technician","married","unknown","no",1355,"yes","no","unknown",18,"jun",300,3,-1,0,"unknown","0"
"11284",40,"technician","married","tertiary","no",-1779,"yes","yes","unknown",18,"jun",37,2,-1,0,"unknown","0"
"11285",44,"housemaid","single","primary","no",1059,"no","no","unknown",18,"jun",2093,1,-1,0,"unknown","1"
"11287",36,"services","married","secondary","no",1024,"yes","no","unknown",18,"jun",111,2,-1,0,"unknown","0"
"11293",41,"services","divorced","secondary","no",2769,"yes","no","unknown",18,"jun",96,3,-1,0,"unknown","0"
"11294",41,"admin.","married","secondary","no",1245,"no","no","unknown",18,"jun",140,3,-1,0,"unknown","0"
"11298",51,"blue-collar","married","primary","no",1238,"no","no","unknown",18,"jun",48,10,-1,0,"unknown","0"
"11299",51,"technician","married","tertiary","no",1533,"no","no","unknown",18,"jun",242,2,-1,0,"unknown","0"
"11300",31,"blue-collar","single","secondary","no",54,"no","no","unknown",18,"jun",230,3,-1,0,"unknown","0"
"11302",28,"blue-collar","single","secondary","no",623,"no","no","unknown",18,"jun",25,41,-1,0,"unknown","0"
"11303",47,"retired","married","primary","no",197,"no","no","unknown",18,"jun",57,2,-1,0,"unknown","0"
"11304",53,"retired","married","secondary","no",357,"no","no","unknown",18,"jun",154,2,-1,0,"unknown","0"
"11305",60,"management","married","secondary","no",358,"no","no","unknown",18,"jun",74,2,-1,0,"unknown","0"
"11307",60,"entrepreneur","married","primary","no",0,"no","no","unknown",18,"jun",201,1,-1,0,"unknown","0"
"11310",40,"blue-collar","divorced","unknown","no",2357,"no","no","unknown",18,"jun",66,3,-1,0,"unknown","0"
"11311",50,"unemployed","married","secondary","no",193,"yes","no","unknown",18,"jun",305,6,-1,0,"unknown","0"
"11312",60,"retired","married","primary","no",415,"no","no","unknown",18,"jun",49,2,-1,0,"unknown","0"
"11313",37,"blue-collar","single","primary","no",12130,"yes","no","unknown",18,"jun",429,13,-1,0,"unknown","0"
"11315",45,"services","single","secondary","no",359,"yes","no","unknown",18,"jun",41,8,-1,0,"unknown","0"
"11316",47,"technician","divorced","secondary","no",165,"no","no","unknown",18,"jun",99,3,-1,0,"unknown","0"
"11318",57,"housemaid","divorced","primary","no",113,"no","no","unknown",18,"jun",378,2,-1,0,"unknown","0"
"11319",57,"blue-collar","married","primary","no",1236,"no","no","unknown",18,"jun",152,9,-1,0,"unknown","0"
"11322",38,"services","married","secondary","no",393,"no","no","unknown",18,"jun",90,3,-1,0,"unknown","0"
"11323",57,"unknown","divorced","unknown","no",4244,"no","no","unknown",18,"jun",626,5,-1,0,"unknown","0"
"11325",44,"blue-collar","single","tertiary","no",827,"yes","no","unknown",18,"jun",65,4,-1,0,"unknown","0"
"11326",42,"housemaid","married","primary","no",1371,"no","no","unknown",18,"jun",125,8,-1,0,"unknown","0"
"11327",49,"blue-collar","married","unknown","no",507,"no","yes","unknown",18,"jun",16,14,-1,0,"unknown","0"
"11328",54,"technician","single","tertiary","no",1433,"yes","yes","unknown",18,"jun",18,20,-1,0,"unknown","0"
"11329",54,"technician","married","secondary","no",1455,"yes","no","unknown",18,"jun",90,4,-1,0,"unknown","0"
"11331",37,"blue-collar","married","primary","no",1104,"no","no","unknown",18,"jun",15,8,-1,0,"unknown","0"
"11332",39,"housemaid","single","primary","no",1340,"no","no","unknown",18,"jun",113,2,-1,0,"unknown","0"
"11337",45,"management","married","tertiary","no",-687,"yes","yes","unknown",18,"jun",92,2,-1,0,"unknown","0"
"11340",42,"services","married","secondary","no",3236,"no","no","unknown",18,"jun",521,11,-1,0,"unknown","0"
"11341",44,"services","divorced","secondary","no",20541,"no","yes","unknown",18,"jun",501,2,-1,0,"unknown","0"
"11342",40,"admin.","single","secondary","no",1670,"yes","no","unknown",18,"jun",161,2,-1,0,"unknown","0"
"11343",57,"blue-collar","married","unknown","no",4148,"no","no","unknown",18,"jun",340,3,-1,0,"unknown","0"
"11344",42,"blue-collar","married","primary","no",-303,"yes","no","unknown",18,"jun",40,3,-1,0,"unknown","0"
"11347",52,"admin.","married","secondary","no",0,"no","no","unknown",18,"jun",161,1,-1,0,"unknown","0"
"11348",57,"housemaid","divorced","primary","no",7451,"no","no","unknown",18,"jun",43,4,-1,0,"unknown","0"
"11349",36,"admin.","married","secondary","no",542,"yes","no","unknown",18,"jun",604,6,-1,0,"unknown","0"
"11350",59,"blue-collar","married","secondary","no",0,"no","no","unknown",18,"jun",368,1,-1,0,"unknown","0"
"11351",44,"blue-collar","married","secondary","no",2092,"no","yes","unknown",18,"jun",452,1,-1,0,"unknown","0"
"11353",39,"admin.","married","secondary","no",0,"no","no","unknown",19,"jun",29,11,-1,0,"unknown","0"
"11356",46,"unknown","married","primary","no",110,"no","no","unknown",19,"jun",113,14,-1,0,"unknown","0"
"11357",36,"blue-collar","married","secondary","no",537,"no","no","unknown",19,"jun",160,6,-1,0,"unknown","0"
"11358",48,"blue-collar","married","primary","no",649,"no","no","unknown",19,"jun",136,2,-1,0,"unknown","0"
"11359",50,"blue-collar","married","secondary","no",5,"no","no","unknown",19,"jun",170,7,-1,0,"unknown","0"
"11360",44,"admin.","single","secondary","no",2524,"no","no","unknown",19,"jun",82,1,-1,0,"unknown","0"
"11361",42,"technician","married","secondary","no",370,"no","no","unknown",19,"jun",302,5,-1,0,"unknown","0"
"11362",54,"blue-collar","married","primary","no",10662,"no","no","unknown",19,"jun",256,1,-1,0,"unknown","0"
"11365",41,"services","married","secondary","no",7509,"no","no","unknown",19,"jun",575,1,-1,0,"unknown","0"
"11366",41,"technician","married","secondary","no",1278,"no","no","unknown",19,"jun",532,1,-1,0,"unknown","0"
"11367",60,"management","married","unknown","no",6313,"no","no","unknown",19,"jun",39,2,-1,0,"unknown","0"
"11368",54,"management","married","tertiary","no",4112,"no","no","unknown",19,"jun",86,1,-1,0,"unknown","0"
"11370",59,"blue-collar","married","primary","no",4143,"no","no","unknown",19,"jun",122,1,-1,0,"unknown","0"
"11371",40,"blue-collar","married","primary","no",117,"yes","no","unknown",19,"jun",172,3,-1,0,"unknown","0"
"11374",50,"self-employed","married","secondary","no",306,"no","no","unknown",19,"jun",37,1,-1,0,"unknown","0"
"11375",39,"services","single","tertiary","no",410,"no","no","unknown",19,"jun",266,4,-1,0,"unknown","0"
"11376",52,"unemployed","divorced","tertiary","no",0,"no","no","unknown",19,"jun",297,1,-1,0,"unknown","0"
"11379",57,"retired","single","secondary","no",630,"no","no","unknown",19,"jun",276,1,-1,0,"unknown","0"
"11380",46,"management","single","unknown","no",312,"yes","no","unknown",19,"jun",108,4,-1,0,"unknown","0"
"11381",50,"entrepreneur","single","tertiary","no",0,"yes","no","unknown",19,"jun",638,1,-1,0,"unknown","0"
"11382",56,"retired","married","primary","no",1906,"no","yes","unknown",19,"jun",45,9,-1,0,"unknown","0"
"11383",38,"technician","married","unknown","no",499,"no","no","unknown",19,"jun",240,6,-1,0,"unknown","0"
"11384",59,"retired","married","secondary","no",1723,"no","no","unknown",19,"jun",70,1,-1,0,"unknown","0"
"11386",41,"admin.","married","secondary","no",2,"yes","no","unknown",19,"jun",64,1,-1,0,"unknown","0"
"11387",45,"technician","married","tertiary","no",3626,"no","no","unknown",19,"jun",2485,2,-1,0,"unknown","0"
"11388",48,"entrepreneur","married","tertiary","no",269,"yes","no","unknown",19,"jun",149,1,-1,0,"unknown","0"
"11389",54,"retired","married","primary","no",1925,"no","no","unknown",19,"jun",348,3,-1,0,"unknown","0"
"11390",38,"management","married","tertiary","yes",-1007,"yes","yes","unknown",19,"jun",71,1,-1,0,"unknown","0"
"11394",58,"retired","married","secondary","no",1463,"yes","no","unknown",19,"jun",446,1,-1,0,"unknown","0"
"11396",41,"self-employed","single","unknown","no",426,"yes","no","unknown",19,"jun",75,1,-1,0,"unknown","0"
"11397",39,"services","married","tertiary","no",16,"no","no","unknown",19,"jun",32,1,-1,0,"unknown","0"
"11398",55,"technician","married","secondary","no",891,"no","no","unknown",19,"jun",268,1,-1,0,"unknown","0"
"11402",58,"retired","married","tertiary","no",5087,"no","no","unknown",19,"jun",252,1,-1,0,"unknown","0"
"11403",51,"admin.","married","secondary","no",884,"no","no","unknown",19,"jun",50,1,-1,0,"unknown","0"
"11406",37,"entrepreneur","married","tertiary","no",678,"no","yes","unknown",19,"jun",395,1,-1,0,"unknown","0"
"11407",40,"self-employed","married","secondary","no",0,"no","no","unknown",19,"jun",61,1,-1,0,"unknown","0"
"11408",55,"entrepreneur","married","primary","no",38,"no","yes","unknown",19,"jun",63,1,-1,0,"unknown","0"
"11409",55,"services","married","secondary","no",477,"no","no","unknown",19,"jun",170,1,-1,0,"unknown","0"
"11412",44,"management","married","secondary","no",11972,"no","no","unknown",19,"jun",127,1,-1,0,"unknown","0"
"11413",56,"technician","married","tertiary","no",1663,"no","no","unknown",19,"jun",22,1,-1,0,"unknown","0"
"11414",49,"blue-collar","divorced","secondary","no",848,"yes","no","unknown",19,"jun",109,1,-1,0,"unknown","0"
"11415",51,"management","divorced","tertiary","no",3415,"yes","no","unknown",19,"jun",677,1,-1,0,"unknown","0"
"11416",50,"management","married","tertiary","no",4045,"no","no","unknown",19,"jun",167,1,-1,0,"unknown","0"
"11417",43,"self-employed","married","tertiary","no",4324,"yes","no","unknown",19,"jun",105,1,-1,0,"unknown","0"
"11419",54,"services","married","secondary","no",0,"no","no","unknown",19,"jun",220,1,-1,0,"unknown","0"
"11421",40,"blue-collar","married","secondary","no",273,"yes","no","unknown",19,"jun",1082,1,-1,0,"unknown","0"
"11422",57,"retired","married","secondary","no",712,"yes","yes","unknown",19,"jun",824,1,-1,0,"unknown","0"
"11424",59,"retired","married","primary","no",143,"yes","no","unknown",19,"jun",11,1,-1,0,"unknown","0"
"11426",44,"blue-collar","single","primary","no",1308,"no","yes","unknown",19,"jun",161,1,-1,0,"unknown","0"
"11427",55,"services","married","secondary","no",557,"no","no","unknown",19,"jun",58,1,-1,0,"unknown","0"
"11429",59,"technician","married","secondary","no",2528,"no","yes","unknown",19,"jun",216,1,-1,0,"unknown","0"
"11430",41,"technician","divorced","secondary","no",586,"yes","no","unknown",19,"jun",223,1,-1,0,"unknown","0"
"11432",43,"admin.","married","secondary","no",1113,"no","no","unknown",19,"jun",477,7,-1,0,"unknown","0"
"11433",50,"blue-collar","married","primary","no",1179,"no","no","unknown",19,"jun",30,1,-1,0,"unknown","0"
"11434",36,"management","divorced","secondary","no",47,"no","no","unknown",19,"jun",159,1,-1,0,"unknown","0"
